date,city,blood_bank,blood_group,units_available,thalassemia_units_required
2025-01-09,Indore,LifeLine Blood Center,AB+,49,7
2025-01-09,Indore,LifeLine Blood Center,AB-,18,6
2025-01-09,Indore,LifeLine Blood Center,O+,103,5
2025-01-09,Indore,LifeLine Blood Center,O-,1,8
2025-01-09,Indore,Hope Blood Bank,A+,60,4
2025-01-09,Indore,Hope Blood Bank,A-,15,2
2025-01-09,Indore,Hope Blood Bank,B+,27,2
2025-01-09,Indore,Hope Blood Bank,B-,22,10
2025-01-09,Indore,Hope Blood Bank,AB+,94,10
2025-01-09,Indore,Hope Blood Bank,AB-,15,5
2025-01-09,Indore,Hope Blood Bank,O+,91,5
2025-01-09,Indore,Hope Blood Bank,O-,6,10
2025-01-09,Indore,Metro Blood Bank,A+,54,8
2025-01-09,Indore,Metro Blood Bank,A-,32,8
2025-01-09,Indore,Metro Blood Bank,B+,58,5
2025-01-09,Indore,Metro Blood Bank,B-,24,10
2025-01-09,Indore,Metro Blood Bank,AB+,49,5
2025-01-09,Indore,Metro Blood Bank,AB-,7,2
2025-01-09,Indore,Metro Blood Bank,O+,46,3
2025-01-09,Indore,Metro Blood Bank,O-,10,9
2025-01-09,Jabalpur,Red Cross Blood Bank,A+,31,8
2025-01-09,Jabalpur,Red Cross Blood Bank,A-,28,8
2025-01-09,Jabalpur,Red Cross Blood Bank,B+,89,0
2025-01-09,Jabalpur,Red Cross Blood Bank,B-,19,1
2025-01-09,Jabalpur,Red Cross Blood Bank,AB+,19,3
2025-01-09,Jabalpur,Red Cross Blood Bank,AB-,12,3
2025-01-09,Jabalpur,Red Cross Blood Bank,O+,91,9
2025-01-09,Jabalpur,Red Cross Blood Bank,O-,18,8
2025-01-09,Jabalpur,City Care Blood Bank,A+,16,6
2025-01-09,Jabalpur,City Care Blood Bank,A-,19,0
2025-01-09,Jabalpur,City Care Blood Bank,B+,17,3
2025-01-09,Jabalpur,City Care Blood Bank,B-,10,4
2025-01-09,Jabalpur,City Care Blood Bank,AB+,59,0
2025-01-09,Jabalpur,City Care Blood Bank,AB-,14,9
2025-01-09,Jabalpur,City Care Blood Bank,O+,56,6
2025-01-09,Jabalpur,City Care Blood Bank,O-,12,0
2025-01-09,Jabalpur,LifeLine Blood Center,A+,34,8
2025-01-09,Jabalpur,LifeLine Blood Center,A-,4,5
2025-01-09,Jabalpur,LifeLine Blood Center,B+,14,8
2025-01-09,Jabalpur,LifeLine Blood Center,B-,22,6
2025-01-09,Jabalpur,LifeLine Blood Center,AB+,86,5
2025-01-09,Jabalpur,LifeLine Blood Center,AB-,19,8
2025-01-09,Jabalpur,LifeLine Blood Center,O+,22,4
2025-01-09,Jabalpur,LifeLine Blood Center,O-,9,9
2025-01-09,Jabalpur,Hope Blood Bank,A+,47,7
2025-01-09,Jabalpur,Hope Blood Bank,A-,11,1
2025-01-09,Jabalpur,Hope Blood Bank,B+,55,1
2025-01-09,Jabalpur,Hope Blood Bank,B-,13,3
2025-01-09,Jabalpur,Hope Blood Bank,AB+,30,7
2025-01-09,Jabalpur,Hope Blood Bank,AB-,1,4
2025-01-09,Jabalpur,Hope Blood Bank,O+,39,8
2025-01-09,Jabalpur,Hope Blood Bank,O-,2,0
2025-01-09,Jabalpur,Metro Blood Bank,A+,87,4
2025-01-09,Jabalpur,Metro Blood Bank,A-,10,2
2025-01-09,Jabalpur,Metro Blood Bank,B+,33,10
2025-01-09,Jabalpur,Metro Blood Bank,B-,13,3
2025-01-09,Jabalpur,Metro Blood Bank,AB+,45,5
2025-01-09,Jabalpur,Metro Blood Bank,AB-,19,5
2025-01-09,Jabalpur,Metro Blood Bank,O+,48,10
2025-01-09,Jabalpur,Metro Blood Bank,O-,11,1
2025-01-09,Gwalior,Red Cross Blood Bank,A+,74,1
2025-01-09,Gwalior,Red Cross Blood Bank,A-,27,1
2025-01-09,Gwalior,Red Cross Blood Bank,B+,27,3
2025-01-09,Gwalior,Red Cross Blood Bank,B-,18,7
2025-01-09,Gwalior,Red Cross Blood Bank,AB+,78,2
2025-01-09,Gwalior,Red Cross Blood Bank,AB-,0,8
2025-01-09,Gwalior,Red Cross Blood Bank,O+,44,5
2025-01-09,Gwalior,Red Cross Blood Bank,O-,0,10
2025-01-09,Gwalior,City Care Blood Bank,A+,62,5
2025-01-09,Gwalior,City Care Blood Bank,A-,19,7
2025-01-09,Gwalior,City Care Blood Bank,B+,81,6
2025-01-09,Gwalior,City Care Blood Bank,B-,8,0
2025-01-09,Gwalior,City Care Blood Bank,AB+,25,1
2025-01-09,Gwalior,City Care Blood Bank,AB-,7,1
2025-01-09,Gwalior,City Care Blood Bank,O+,52,3
2025-01-09,Gwalior,City Care Blood Bank,O-,19,4
2025-01-09,Gwalior,LifeLine Blood Center,A+,45,3
2025-01-09,Gwalior,LifeLine Blood Center,A-,12,3
2025-01-09,Gwalior,LifeLine Blood Center,B+,35,10
2025-01-09,Gwalior,LifeLine Blood Center,B-,20,2
2025-01-09,Gwalior,LifeLine Blood Center,AB+,27,2
2025-01-09,Gwalior,LifeLine Blood Center,AB-,12,1
2025-01-09,Gwalior,LifeLine Blood Center,O+,55,0
2025-01-09,Gwalior,LifeLine Blood Center,O-,8,9
2025-01-09,Gwalior,Hope Blood Bank,A+,33,0
2025-01-09,Gwalior,Hope Blood Bank,A-,11,3
2025-01-09,Gwalior,Hope Blood Bank,B+,56,1
2025-01-09,Gwalior,Hope Blood Bank,B-,12,4
2025-01-09,Gwalior,Hope Blood Bank,AB+,22,1
2025-01-09,Gwalior,Hope Blood Bank,AB-,9,9
2025-01-09,Gwalior,Hope Blood Bank,O+,71,8
2025-01-09,Gwalior,Hope Blood Bank,O-,0,7
2025-01-09,Gwalior,Metro Blood Bank,A+,68,7
2025-01-09,Gwalior,Metro Blood Bank,A-,27,3
2025-01-09,Gwalior,Metro Blood Bank,B+,92,2
2025-01-09,Gwalior,Metro Blood Bank,B-,5,5
2025-01-09,Gwalior,Metro Blood Bank,AB+,48,7
2025-01-09,Gwalior,Metro Blood Bank,AB-,20,10
2025-01-09,Gwalior,Metro Blood Bank,O+,61,1
2025-01-09,Gwalior,Metro Blood Bank,O-,20,1
2025-01-09,Ujjain,Red Cross Blood Bank,A+,70,3
2025-01-09,Ujjain,Red Cross Blood Bank,A-,17,0
2025-01-09,Ujjain,Red Cross Blood Bank,B+,18,8
2025-01-09,Ujjain,Red Cross Blood Bank,B-,20,3
2025-01-09,Ujjain,Red Cross Blood Bank,AB+,44,6
2025-01-09,Ujjain,Red Cross Blood Bank,AB-,4,5
2025-01-09,Ujjain,Red Cross Blood Bank,O+,20,2
2025-01-09,Ujjain,Red Cross Blood Bank,O-,12,0
2025-01-09,Ujjain,City Care Blood Bank,A+,77,8
2025-01-09,Ujjain,City Care Blood Bank,A-,10,6
2025-01-09,Ujjain,City Care Blood Bank,B+,10,6
2025-01-09,Ujjain,City Care Blood Bank,B-,11,1
2025-01-09,Ujjain,City Care Blood Bank,AB+,52,8
2025-01-09,Ujjain,City Care Blood Bank,AB-,2,8
2025-01-09,Ujjain,City Care Blood Bank,O+,20,2
2025-01-09,Ujjain,City Care Blood Bank,O-,10,8
2025-01-09,Ujjain,LifeLine Blood Center,A+,54,6
2025-01-09,Ujjain,LifeLine Blood Center,A-,4,0
2025-01-09,Ujjain,LifeLine Blood Center,B+,36,0
2025-01-09,Ujjain,LifeLine Blood Center,B-,24,8
2025-01-09,Ujjain,LifeLine Blood Center,AB+,76,5
2025-01-09,Ujjain,LifeLine Blood Center,AB-,10,4
2025-01-09,Ujjain,LifeLine Blood Center,O+,55,9
2025-01-09,Ujjain,LifeLine Blood Center,O-,5,0
2025-01-09,Ujjain,Hope Blood Bank,A+,60,2
2025-01-09,Ujjain,Hope Blood Bank,A-,17,6
2025-01-09,Ujjain,Hope Blood Bank,B+,53,10
2025-01-09,Ujjain,Hope Blood Bank,B-,4,0
2025-01-09,Ujjain,Hope Blood Bank,AB+,70,7
2025-01-09,Ujjain,Hope Blood Bank,AB-,13,5
2025-01-09,Ujjain,Hope Blood Bank,O+,21,8
2025-01-09,Ujjain,Hope Blood Bank,O-,4,6
2025-01-09,Ujjain,Metro Blood Bank,A+,11,10
2025-01-09,Ujjain,Metro Blood Bank,A-,9,0
2025-01-09,Ujjain,Metro Blood Bank,B+,76,3
2025-01-09,Ujjain,Metro Blood Bank,B-,8,4
2025-01-09,Ujjain,Metro Blood Bank,AB+,46,6
2025-01-09,Ujjain,Metro Blood Bank,AB-,13,5
2025-01-09,Ujjain,Metro Blood Bank,O+,59,6
2025-01-09,Ujjain,Metro Blood Bank,O-,8,1
2025-01-09,Sagar,Red Cross Blood Bank,A+,15,5
2025-01-09,Sagar,Red Cross Blood Bank,A-,4,7
2025-01-09,Sagar,Red Cross Blood Bank,B+,57,5
2025-01-09,Sagar,Red Cross Blood Bank,B-,14,1
2025-01-09,Sagar,Red Cross Blood Bank,AB+,36,0
2025-01-09,Sagar,Red Cross Blood Bank,AB-,14,2
2025-01-09,Sagar,Red Cross Blood Bank,O+,77,9
2025-01-09,Sagar,Red Cross Blood Bank,O-,14,8
2025-01-09,Sagar,City Care Blood Bank,A+,76,5
2025-01-09,Sagar,City Care Blood Bank,A-,23,5
2025-01-09,Sagar,City Care Blood Bank,B+,44,0
2025-01-09,Sagar,City Care Blood Bank,B-,12,5
2025-01-09,Sagar,City Care Blood Bank,AB+,21,4
2025-01-09,Sagar,City Care Blood Bank,AB-,0,10
2025-01-09,Sagar,City Care Blood Bank,O+,42,6
2025-01-09,Sagar,City Care Blood Bank,O-,4,10
2025-01-09,Sagar,LifeLine Blood Center,A+,39,4
2025-01-09,Sagar,LifeLine Blood Center,A-,9,8
2025-01-09,Sagar,LifeLine Blood Center,B+,81,6
2025-01-09,Sagar,LifeLine Blood Center,B-,17,6
2025-01-09,Sagar,LifeLine Blood Center,AB+,33,6
2025-01-09,Sagar,LifeLine Blood Center,AB-,17,7
2025-01-09,Sagar,LifeLine Blood Center,O+,80,5
2025-01-09,Sagar,LifeLine Blood Center,O-,0,3
2025-01-09,Sagar,Hope Blood Bank,A+,76,5
2025-01-09,Sagar,Hope Blood Bank,A-,25,0
2025-01-09,Sagar,Hope Blood Bank,B+,35,1
2025-01-09,Sagar,Hope Blood Bank,B-,7,9
2025-01-09,Sagar,Hope Blood Bank,AB+,11,9
2025-01-09,Sagar,Hope Blood Bank,AB-,4,5
2025-01-09,Sagar,Hope Blood Bank,O+,56,2
2025-01-09,Sagar,Hope Blood Bank,O-,5,10
2025-01-09,Sagar,Metro Blood Bank,A+,55,1
2025-01-09,Sagar,Metro Blood Bank,A-,17,4
2025-01-09,Sagar,Metro Blood Bank,B+,10,4
2025-01-09,Sagar,Metro Blood Bank,B-,7,7
2025-01-09,Sagar,Metro Blood Bank,AB+,72,9
2025-01-09,Sagar,Metro Blood Bank,AB-,6,5
2025-01-09,Sagar,Metro Blood Bank,O+,26,2
2025-01-09,Sagar,Metro Blood Bank,O-,12,3
2025-01-10,Bhopal,Red Cross Blood Bank,A+,27,6
2025-01-10,Bhopal,Red Cross Blood Bank,A-,21,4
2025-01-10,Bhopal,Red Cross Blood Bank,B+,112,9
2025-01-10,Bhopal,Red Cross Blood Bank,B-,10,0
2025-01-10,Bhopal,Red Cross Blood Bank,AB+,106,9
2025-01-10,Bhopal,Red Cross Blood Bank,AB-,1,2
2025-01-10,Bhopal,Red Cross Blood Bank,O+,35,0
2025-01-10,Bhopal,Red Cross Blood Bank,O-,16,10
2025-01-10,Bhopal,City Care Blood Bank,A+,118,5
2025-01-10,Bhopal,City Care Blood Bank,A-,30,6
2025-01-10,Bhopal,City Care Blood Bank,B+,12,0
2025-01-10,Bhopal,City Care Blood Bank,B-,17,4
2025-01-10,Bhopal,City Care Blood Bank,AB+,80,2
2025-01-10,Bhopal,City Care Blood Bank,AB-,21,10
2025-01-10,Bhopal,City Care Blood Bank,O+,80,3
2025-01-10,Bhopal,City Care Blood Bank,O-,3,3
2025-01-10,Bhopal,LifeLine Blood Center,A+,12,4
2025-01-10,Bhopal,LifeLine Blood Center,A-,10,8
2025-01-10,Bhopal,LifeLine Blood Center,B+,112,3
2025-01-10,Bhopal,LifeLine Blood Center,B-,31,5
2025-01-10,Bhopal,LifeLine Blood Center,AB+,108,3
2025-01-10,Bhopal,LifeLine Blood Center,AB-,12,0
2025-01-10,Bhopal,LifeLine Blood Center,O+,82,4
2025-01-10,Bhopal,LifeLine Blood Center,O-,20,0
2025-01-10,Bhopal,Hope Blood Bank,A+,20,1
2025-01-10,Bhopal,Hope Blood Bank,A-,23,1
2025-01-10,Bhopal,Hope Blood Bank,B+,123,7
2025-01-10,Bhopal,Hope Blood Bank,B-,27,7
2025-01-10,Bhopal,Hope Blood Bank,AB+,66,3
2025-01-10,Bhopal,Hope Blood Bank,AB-,16,10
2025-01-10,Bhopal,Hope Blood Bank,O+,103,3
2025-01-10,Bhopal,Hope Blood Bank,O-,20,10
2025-01-10,Bhopal,Metro Blood Bank,A+,15,2
2025-01-10,Bhopal,Metro Blood Bank,A-,22,1
2025-01-10,Bhopal,Metro Blood Bank,B+,61,2
2025-01-10,Bhopal,Metro Blood Bank,B-,16,6
2025-01-10,Bhopal,Metro Blood Bank,AB+,31,5
2025-01-10,Bhopal,Metro Blood Bank,AB-,5,8
2025-01-10,Bhopal,Metro Blood Bank,O+,75,2
2025-01-10,Bhopal,Metro Blood Bank,O-,6,10
2025-01-10,Indore,Red Cross Blood Bank,A+,109,7
2025-01-10,Indore,Red Cross Blood Bank,A-,13,1
2025-01-10,Indore,Red Cross Blood Bank,B+,68,9
2025-01-10,Indore,Red Cross Blood Bank,B-,32,9
2025-01-10,Indore,Red Cross Blood Bank,AB+,31,5
2025-01-10,Indore,Red Cross Blood Bank,AB-,10,10
2025-01-10,Indore,Red Cross Blood Bank,O+,37,6
2025-01-10,Indore,Red Cross Blood Bank,O-,13,6
2025-01-10,Indore,City Care Blood Bank,A+,44,5
2025-01-10,Indore,City Care Blood Bank,A-,7,4
2025-01-10,Indore,City Care Blood Bank,B+,30,8
2025-01-10,Indore,City Care Blood Bank,B-,27,2
2025-01-10,Indore,City Care Blood Bank,AB+,18,0
2025-01-10,Indore,City Care Blood Bank,AB-,22,2
2025-01-10,Indore,City Care Blood Bank,O+,61,1
2025-01-10,Indore,City Care Blood Bank,O-,2,5
2025-01-10,Indore,LifeLine Blood Center,A+,108,9
2025-01-10,Indore,LifeLine Blood Center,A-,32,9
2025-01-10,Indore,LifeLine Blood Center,B+,109,6
2025-01-10,Indore,LifeLine Blood Center,B-,9,7
2025-01-10,Indore,LifeLine Blood Center,AB+,57,10
2025-01-10,Indore,LifeLine Blood Center,AB-,4,5
2025-01-10,Indore,LifeLine Blood Center,O+,14,5
2025-01-10,Indore,LifeLine Blood Center,O-,2,0
2025-01-10,Indore,Hope Blood Bank,A+,120,8
2025-01-10,Indore,Hope Blood Bank,A-,9,10
2025-01-10,Indore,Hope Blood Bank,B+,54,10
2025-01-10,Indore,Hope Blood Bank,B-,15,9
2025-01-10,Indore,Hope Blood Bank,AB+,52,7
2025-01-10,Indore,Hope Blood Bank,AB-,1,8
2025-01-10,Indore,Hope Blood Bank,O+,76,5
2025-01-10,Indore,Hope Blood Bank,O-,6,3
2025-01-10,Indore,Metro Blood Bank,A+,18,8
2025-01-10,Indore,Metro Blood Bank,A-,19,1
2025-01-10,Indore,Metro Blood Bank,B+,18,8
2025-01-10,Indore,Metro Blood Bank,B-,13,8
2025-01-10,Indore,Metro Blood Bank,AB+,109,5
2025-01-10,Indore,Metro Blood Bank,AB-,12,9
2025-01-10,Indore,Metro Blood Bank,O+,21,8
2025-01-10,Indore,Metro Blood Bank,O-,24,9
2025-01-10,Jabalpur,Red Cross Blood Bank,A+,85,10
2025-01-10,Jabalpur,Red Cross Blood Bank,A-,5,8
2025-01-10,Jabalpur,Red Cross Blood Bank,B+,76,1
2025-01-10,Jabalpur,Red Cross Blood Bank,B-,10,2
2025-01-10,Jabalpur,Red Cross Blood Bank,AB+,75,9
2025-01-10,Jabalpur,Red Cross Blood Bank,AB-,3,6
2025-01-10,Jabalpur,Red Cross Blood Bank,O+,67,10
2025-01-10,Jabalpur,Red Cross Blood Bank,O-,0,6
2025-01-10,Jabalpur,City Care Blood Bank,A+,93,10
2025-01-10,Jabalpur,City Care Blood Bank,A-,20,4
2025-01-10,Jabalpur,City Care Blood Bank,B+,89,6
2025-01-10,Jabalpur,City Care Blood Bank,B-,16,6
2025-01-10,Jabalpur,City Care Blood Bank,AB+,81,0
2025-01-10,Jabalpur,City Care Blood Bank,AB-,16,3
2025-01-10,Jabalpur,City Care Blood Bank,O+,76,3
2025-01-10,Jabalpur,City Care Blood Bank,O-,9,3
2025-01-10,Jabalpur,LifeLine Blood Center,A+,92,2
2025-01-10,Jabalpur,LifeLine Blood Center,A-,14,9
2025-01-10,Jabalpur,LifeLine Blood Center,B+,57,3
2025-01-10,Jabalpur,LifeLine Blood Center,B-,23,7
2025-01-10,Jabalpur,LifeLine Blood Center,AB+,64,7
2025-01-10,Jabalpur,LifeLine Blood Center,AB-,2,6
2025-01-10,Jabalpur,LifeLine Blood Center,O+,93,7
2025-01-10,Jabalpur,LifeLine Blood Center,O-,4,9
2025-01-10,Jabalpur,Hope Blood Bank,A+,77,9
2025-01-10,Jabalpur,Hope Blood Bank,A-,26,1
2025-01-10,Jabalpur,Hope Blood Bank,B+,26,6
2025-01-10,Jabalpur,Hope Blood Bank,B-,22,4
2025-01-10,Jabalpur,Hope Blood Bank,AB+,67,6
2025-01-10,Jabalpur,Hope Blood Bank,AB-,7,10
2025-01-10,Jabalpur,Hope Blood Bank,O+,12,5
2025-01-10,Jabalpur,Hope Blood Bank,O-,15,9
2025-01-10,Jabalpur,Metro Blood Bank,A+,36,9
2025-01-10,Jabalpur,Metro Blood Bank,A-,17,9
2025-01-10,Jabalpur,Metro Blood Bank,B+,90,10
2025-01-10,Jabalpur,Metro Blood Bank,B-,13,9
2025-01-10,Jabalpur,Metro Blood Bank,AB+,17,8
2025-01-10,Jabalpur,Metro Blood Bank,AB-,1,2
2025-01-10,Jabalpur,Metro Blood Bank,O+,76,1
2025-01-10,Jabalpur,Metro Blood Bank,O-,10,2
2025-01-10,Gwalior,Red Cross Blood Bank,A+,37,8
2025-01-10,Gwalior,Red Cross Blood Bank,A-,16,4
2025-01-10,Gwalior,Red Cross Blood Bank,B+,25,8
2025-01-10,Gwalior,Red Cross Blood Bank,B-,12,2
2025-01-10,Gwalior,Red Cross Blood Bank,AB+,14,4
2025-01-10,Gwalior,Red Cross Blood Bank,AB-,19,9
2025-01-10,Gwalior,Red Cross Blood Bank,O+,47,5
2025-01-10,Gwalior,Red Cross Blood Bank,O-,20,4
2025-01-10,Gwalior,City Care Blood Bank,A+,11,9
2025-01-10,Gwalior,City Care Blood Bank,A-,7,2
2025-01-10,Gwalior,City Care Blood Bank,B+,73,8
2025-01-10,Gwalior,City Care Blood Bank,B-,5,10
2025-01-10,Gwalior,City Care Blood Bank,AB+,69,5
2025-01-10,Gwalior,City Care Blood Bank,AB-,20,2
2025-01-10,Gwalior,City Care Blood Bank,O+,55,5
2025-01-10,Gwalior,City Care Blood Bank,O-,19,8
2025-01-10,Gwalior,LifeLine Blood Center,A+,40,1
2025-01-10,Gwalior,LifeLine Blood Center,A-,16,7
2025-01-10,Gwalior,LifeLine Blood Center,B+,17,8
2025-01-10,Gwalior,LifeLine Blood Center,B-,11,1
2025-01-10,Gwalior,LifeLine Blood Center,AB+,76,0
2025-01-10,Gwalior,LifeLine Blood Center,AB-,14,9
2025-01-10,Gwalior,LifeLine Blood Center,O+,31,9
2025-01-10,Gwalior,LifeLine Blood Center,O-,6,3
2025-01-10,Gwalior,Hope Blood Bank,A+,18,5
2025-01-10,Gwalior,Hope Blood Bank,A-,19,9
2025-01-10,Gwalior,Hope Blood Bank,B+,43,0
2025-01-10,Gwalior,Hope Blood Bank,B-,13,7
2025-01-10,Gwalior,Hope Blood Bank,AB+,45,9
2025-01-10,Gwalior,Hope Blood Bank,AB-,3,7
2025-01-10,Gwalior,Hope Blood Bank,O+,77,4
2025-01-10,Gwalior,Hope Blood Bank,O-,13,7
2025-01-10,Gwalior,Metro Blood Bank,A+,92,8
2025-01-10,Gwalior,Metro Blood Bank,A-,15,0
2025-01-10,Gwalior,Metro Blood Bank,B+,50,9
2025-01-10,Gwalior,Metro Blood Bank,B-,6,10
2025-01-10,Gwalior,Metro Blood Bank,AB+,44,3
2025-01-10,Gwalior,Metro Blood Bank,AB-,1,4
2025-01-10,Gwalior,Metro Blood Bank,O+,38,8
2025-01-10,Gwalior,Metro Blood Bank,O-,12,3
2025-01-10,Ujjain,Red Cross Blood Bank,A+,16,7
2025-01-10,Ujjain,Red Cross Blood Bank,A-,15,5
2025-01-10,Ujjain,Red Cross Blood Bank,B+,54,10
2025-01-10,Ujjain,Red Cross Blood Bank,B-,15,7
2025-01-10,Ujjain,Red Cross Blood Bank,AB+,49,4
2025-01-10,Ujjain,Red Cross Blood Bank,AB-,1,3
2025-01-10,Ujjain,Red Cross Blood Bank,O+,11,8
2025-01-10,Ujjain,Red Cross Blood Bank,O-,15,8
2025-01-10,Ujjain,City Care Blood Bank,A+,38,1
2025-01-10,Ujjain,City Care Blood Bank,A-,8,6
2025-01-10,Ujjain,City Care Blood Bank,B+,40,8
2025-01-10,Ujjain,City Care Blood Bank,B-,20,6
2025-01-10,Ujjain,City Care Blood Bank,AB+,27,3
2025-01-10,Ujjain,City Care Blood Bank,AB-,3,4
2025-01-10,Ujjain,City Care Blood Bank,O+,65,0
2025-01-10,Ujjain,City Care Blood Bank,O-,6,5
2025-01-10,Ujjain,LifeLine Blood Center,A+,59,3
2025-01-10,Ujjain,LifeLine Blood Center,A-,12,9
2025-01-10,Ujjain,LifeLine Blood Center,B+,77,4
2025-01-10,Ujjain,LifeLine Blood Center,B-,16,10
2025-01-10,Ujjain,LifeLine Blood Center,AB+,36,1
2025-01-10,Ujjain,LifeLine Blood Center,AB-,4,7
2025-01-10,Ujjain,LifeLine Blood Center,O+,35,9
2025-01-10,Ujjain,LifeLine Blood Center,O-,7,4
2025-01-10,Ujjain,Hope Blood Bank,A+,12,5
2025-01-10,Ujjain,Hope Blood Bank,A-,18,4
2025-01-10,Ujjain,Hope Blood Bank,B+,46,4
2025-01-10,Ujjain,Hope Blood Bank,B-,16,8
2025-01-10,Ujjain,Hope Blood Bank,AB+,21,7
2025-01-10,Ujjain,Hope Blood Bank,AB-,1,8
2025-01-10,Ujjain,Hope Blood Bank,O+,44,8
2025-01-10,Ujjain,Hope Blood Bank,O-,8,6
2025-01-10,Ujjain,Metro Blood Bank,A+,25,8
2025-01-10,Ujjain,Metro Blood Bank,A-,20,8
2025-01-10,Ujjain,Metro Blood Bank,B+,35,6
2025-01-10,Ujjain,Metro Blood Bank,B-,17,2
2025-01-10,Ujjain,Metro Blood Bank,AB+,48,9
2025-01-10,Ujjain,Metro Blood Bank,AB-,6,10
2025-01-10,Ujjain,Metro Blood Bank,O+,60,2
2025-01-10,Ujjain,Metro Blood Bank,O-,10,6
2025-01-10,Sagar,Red Cross Blood Bank,A+,57,8
2025-01-10,Sagar,Red Cross Blood Bank,A-,12,7
2025-01-10,Sagar,Red Cross Blood Bank,B+,79,0
2025-01-10,Sagar,Red Cross Blood Bank,B-,22,0
2025-01-10,Sagar,Red Cross Blood Bank,AB+,18,0
2025-01-10,Sagar,Red Cross Blood Bank,AB-,16,9
2025-01-10,Sagar,Red Cross Blood Bank,O+,74,10
2025-01-10,Sagar,Red Cross Blood Bank,O-,0,9
2025-01-10,Sagar,City Care Blood Bank,A+,39,0
2025-01-10,Sagar,City Care Blood Bank,A-,20,1
2025-01-10,Sagar,City Care Blood Bank,B+,56,5
2025-01-10,Sagar,City Care Blood Bank,B-,18,1
2025-01-10,Sagar,City Care Blood Bank,AB+,47,0
2025-01-10,Sagar,City Care Blood Bank,AB-,12,1
2025-01-10,Sagar,City Care Blood Bank,O+,54,5
2025-01-10,Sagar,City Care Blood Bank,O-,17,4
2025-01-10,Sagar,LifeLine Blood Center,A+,45,2
2025-01-10,Sagar,LifeLine Blood Center,A-,17,0
2025-01-10,Sagar,LifeLine Blood Center,B+,60,5
2025-01-10,Sagar,LifeLine Blood Center,B-,13,3
2025-01-10,Sagar,LifeLine Blood Center,AB+,80,1
2025-01-10,Sagar,LifeLine Blood Center,AB-,3,1
2025-01-10,Sagar,LifeLine Blood Center,O+,69,9
2025-01-10,Sagar,LifeLine Blood Center,O-,0,3
2025-01-10,Sagar,Hope Blood Bank,A+,63,10
2025-01-10,Sagar,Hope Blood Bank,A-,7,5
2025-01-10,Sagar,Hope Blood Bank,B+,24,7
2025-01-10,Sagar,Hope Blood Bank,B-,11,4
2025-01-10,Sagar,Hope Blood Bank,AB+,79,0
2025-01-10,Sagar,Hope Blood Bank,AB-,8,0
2025-01-10,Sagar,Hope Blood Bank,O+,59,6
2025-01-10,Sagar,Hope Blood Bank,O-,4,9
2025-01-10,Sagar,Metro Blood Bank,A+,60,1
2025-01-10,Sagar,Metro Blood Bank,A-,6,4
2025-01-10,Sagar,Metro Blood Bank,B+,17,9
2025-01-10,Sagar,Metro Blood Bank,B-,5,3
2025-01-10,Sagar,Metro Blood Bank,AB+,59,5
2025-01-10,Sagar,Metro Blood Bank,AB-,8,1
2025-01-10,Sagar,Metro Blood Bank,O+,42,6
2025-01-10,Sagar,Metro Blood Bank,O-,0,5
2025-01-11,Bhopal,Red Cross Blood Bank,A+,32,10
2025-01-11,Bhopal,Red Cross Blood Bank,A-,12,0
2025-01-11,Bhopal,Red Cross Blood Bank,B+,43,3
2025-01-11,Bhopal,Red Cross Blood Bank,B-,17,5
2025-01-11,Bhopal,Red Cross Blood Bank,AB+,36,8
2025-01-11,Bhopal,Red Cross Blood Bank,AB-,15,6
2025-01-11,Bhopal,Red Cross Blood Bank,O+,61,3
2025-01-11,Bhopal,Red Cross Blood Bank,O-,20,9
2025-01-11,Bhopal,City Care Blood Bank,A+,17,8
2025-01-11,Bhopal,City Care Blood Bank,A-,31,2
2025-01-11,Bhopal,City Care Blood Bank,B+,68,2
2025-01-11,Bhopal,City Care Blood Bank,B-,26,9
2025-01-11,Bhopal,City Care Blood Bank,AB+,38,7
2025-01-11,Bhopal,City Care Blood Bank,AB-,16,8
2025-01-11,Bhopal,City Care Blood Bank,O+,46,9
2025-01-11,Bhopal,City Care Blood Bank,O-,8,4
2025-01-11,Bhopal,LifeLine Blood Center,A+,90,1
2025-01-11,Bhopal,LifeLine Blood Center,A-,25,8
2025-01-11,Bhopal,LifeLine Blood Center,B+,100,10
2025-01-11,Bhopal,LifeLine Blood Center,B-,12,6
2025-01-11,Bhopal,LifeLine Blood Center,AB+,48,5
2025-01-11,Bhopal,LifeLine Blood Center,AB-,18,7
2025-01-11,Bhopal,LifeLine Blood Center,O+,46,7
2025-01-11,Bhopal,LifeLine Blood Center,O-,18,9
2025-01-11,Bhopal,Hope Blood Bank,A+,26,7
2025-01-11,Bhopal,Hope Blood Bank,A-,16,1
2025-01-11,Bhopal,Hope Blood Bank,B+,23,6
2025-01-11,Bhopal,Hope Blood Bank,B-,22,0
2025-01-11,Bhopal,Hope Blood Bank,AB+,17,4
2025-01-11,Bhopal,Hope Blood Bank,AB-,21,2
2025-01-11,Bhopal,Hope Blood Bank,O+,112,6
2025-01-11,Bhopal,Hope Blood Bank,O-,8,1
2025-01-11,Bhopal,Metro Blood Bank,A+,90,0
2025-01-11,Bhopal,Metro Blood Bank,A-,22,6
2025-01-11,Bhopal,Metro Blood Bank,B+,102,1
2025-01-11,Bhopal,Metro Blood Bank,B-,7,7
